Entity,Code,Year,Alcohol_Use_Disorder,Alcohol_Consumption,Population
Uganda,UGA,2016,1.29,9.5,39649000.0
Ukraine,UKR,2016,4.76,8.6,44714000.0
United Arab Emirates,ARE,2016,0.76,3.8,9361000.0
United Kingdom,GBR,2016,1.91,11.4,66298000.0
United States,USA,2016,2.03,9.8,323016000.0
Uruguay,URY,2016,1.19,10.8,3424000.0
Uzbekistan,UZB,2016,1.9,2.7,31442000.0
Vanuatu,VUT,2016,1.21,1.0,278000.0
Venezuela,VEN,2016,1.37,5.6,29851000.0
Vietnam,VNM,2016,1.74,8.3,93640000.0
World,OWID_WRL,2016,1.41,6.376976124693299,7464022016.0
Yemen,YEM,2016,0.64,0.1,27168000.0
Zambia,ZMB,2016,1.63,4.8,16363000.0
Zimbabwe,ZWE,2016,1.51,4.8,14030000.0
